"Datum","Handballspiel"
"2013-02-13",1
"2013-02-26",1
"2013-03-16",1
"2013-03-27",1
"2013-03-30",1
"2013-05-01",1
"2013-05-14",1
"2013-06-05",1
"2013-08-24",1
"2013-09-11",1
"2013-09-18",1
"2013-09-25",1
"2013-10-05",1
"2013-10-16",1
"2013-11-06",1
"2013-11-27",1
"2013-12-18",1
"2013-12-21",1
"2013-12-26",1
"2014-02-12",1
"2014-03-16",1
"2014-03-26",1
"2014-04-30",1
"2014-05-11",1
"2014-05-24",1
"2014-08-26",1
"2014-09-14",1
"2014-10-05",1
"2014-10-15",1
"2014-11-05",1
"2014-11-12",1
"2014-11-30",1
"2014-12-14",1
"2014-12-23",1
"2014-12-26",1
"2015-02-22",1
"2015-02-25",1
"2015-03-12",1
"2015-04-01",1
"2015-04-05",1
"2015-04-22",1
"2015-05-20",1
"2015-06-05",1
"2015-09-02",1
"2015-09-09",1
"2015-09-20",1
"2015-09-30",1
"2015-10-14",1
"2015-11-15",1
"2015-11-25",1
"2015-12-09",1
"2015-12-23",1
"2016-02-10",1
"2016-02-21",1
"2016-02-27",1
"2016-04-16",1
"2016-05-04",1
"2016-05-08",1
"2016-05-15",1
"2016-06-05",1
"2016-09-11",1
"2016-09-14",1
"2016-09-27",1
"2016-10-19",1
"2016-11-13",1
"2016-11-26",1
"2016-12-11",1
"2016-12-21",1
"2016-12-26",1
"2017-02-19",1
"2017-02-22",1
"2017-03-08",1
"2017-04-02",1
"2017-04-19",1
"2017-05-14",1
"2017-05-28",1
"2017-06-03",1
"2017-09-03",1
"2017-09-07",1
"2017-09-14",1
"2017-10-12",1
"2017-11-02",1
"2017-11-16",1
"2017-11-22",1
"2018-12-06",1
"2018-12-27",1
"2019-02-17",1
"2019-03-14",1
"2019-03-28",1
"2019-04-28",1
"2019-05-12",1
"2019-05-26",1
"2019-06-09",1
"2019-08-25",1
"2019-09-03",1
"2019-09-12",1
"2019-10-10",1
"2019-10-31",1
"2019-11-17",1
"2019-11-24",1
"2019-12-08",1
"2019-12-19",1
"2019-12-22",1
"2019-12-29",1
