"Startzeit","Endzeit","Schiff"
2013-04-13 08:00:00,2013-04-13 17:00:00,"AIDAcara"
2013-04-17 08:00:00,2013-04-17 17:00:00,"AIDAcara"
2013-04-20 08:00:00,2013-04-20 17:00:00,"AIDAcara"
2013-04-23 07:30:00,2013-04-23 17:30:00,"Astor"
2013-04-24 08:00:00,2013-04-24 17:00:00,"AIDAcara"
2013-04-25 10:00:00,2013-04-25 16:00:00,"MSC Musica"
2013-04-27 08:00:00,2013-04-27 17:00:00,"AIDAcara"
2013-04-28 10:00:00,2013-04-28 16:00:00,"MSC Musica"
2013-04-30 08:00:00,2013-04-30 23:00:00,"MS Rotterdam"
2013-05-01 08:00:00,2013-05-01 17:00:00,"AIDAcara"
2013-05-01 09:00:00,2013-05-01 17:00:00,"Costa Pacifica"
2013-05-04 08:00:00,2013-05-04 17:00:00,"AIDAcara"
2013-05-05 08:00:00,2013-05-05 16:00:00,"MSC Musica"
2013-05-05 08:00:00,2013-05-05 17:00:00,"Delphin"
2013-05-07 10:00:00,2013-05-07 18:00:00,"MSC Poesia"
2013-05-11 08:00:00,2013-05-11 17:00:00,"AIDAcara"
